3D Printed Bionic Arm;https://doi.org/10.1109/ICCDW45521.2020.9318631;Excluded (2)
A 0.00179 mm(2)/Ch Chopper-Stabilized TDMA Neural Recording System With Dynamic EOV Cancellation and Predictive Mixed-Signal Impedance Boosting;https://doi.org/10.1109/tbcas.2024.3366649;Excluded (1)
A 0.67 $\mu$V-IIRN super-T $\Omega$-Z (IN) 17.5 $\mu$W/Ch Active Electrode With In-Channel Boosted CMRR for Distributed EEG Monitoring;https://doi.org/10.1109/tbcas.2023.3301554;Excluded (2)
A 10.13$\mu$J/Classification 2-Channel Deep Neural Network Based SoC for Negative Emotion Outburst Detection of Autistic Children;https://doi.org/10.1109/tbcas.2021.3113613;Excluded (2)
A $1.2\ \mu \mathrm{W},\ 1.7\ \mu V_{rms}$ ECG Acquisition IC with Low-Noise Amplifier and Full-Digital Heartbeat Detector;https://doi.org/10.1109/apccas51387.2021.9687755;Excluded (2)
A 1.83 $\mu$J/Classification, 8-Channel, Patient-Specific Epileptic Seizure Classification SoC Using a Non-Linear Support Vector Machine;https://doi.org/10.1109/tbcas.2014.2386891;Excluded (2)
A 44$\mu$W Two-Electrode ECG Acquisition ASIC With Hybrid Motion Artifact Removal and Power-Efficient R-Peak Detection;https://doi.org/10.1109/tbcas.2025.3556256;Excluded (2)
A 450 mV Tunable Low-Frequency OTA-C Third-Order Elliptic Low-Pass Filter for Bio-Signal Applications;https://doi.org/10.1109/access.2025.3544735;Excluded (2)
A Battery-Less Portable ECG Monitoring System With Wired Audio Transmission;https://doi.org/10.1109/tbcas.2019.2923423;Excluded (2)
Abdominal Signals: Denoising by Application of the Event Synchronous Canceller;https://doi.org/10.1109/iembs.2007.4352353;Excluded (1)
Abnormal signal-averaged electrocardiograms in patients with incomplete right bundle-branch block;https://doi.org/10.1002/clc.4960200106;Excluded (2)
Accuracy Improved Muscle Onset and Termination Detection in EMG Signal Processing Using STKEO;https://doi.org/10.1109/icst59744.2023.10460860;Excluded (2)
A compact electroencephalogram recording device with integrated audio stimulation system;https://doi.org/10.1063/1.3436634;Included
A Compact Sub-$\mu$W CMOS ECG Amplifier With 57.5-M$\Omega$ Zin, 2.02 NEF, 8.16 PEF and 83.24-dB CMRR;https://doi.org/10.1109/tbcas.2021.3086182;Excluded (2)
A Comparative Analysis of Denoising PCG Signals using Adaptive Wiener-Kalman Filtering;https://doi.org/10.1109/csitss64042.2024.10816866;Excluded (1)
Adaptive data compression of ambulatory ECG using multi templates;https://doi.org/10.1109/cic.1993.378395;Excluded (2)
A Dynamically Reconfigurable ECG Analog Front-End With a 2.5$\times$ Data-Dependent Power Reduction;https://doi.org/10.1109/tbcas.2021.3114415;Excluded (2)
Afferent and efferent activity control in the design of brain computer interfaces for motor rehabilitation;https://doi.org/10.1109/iembs.2011.6091705;Included
A firing rate independent threshold estimation for neuronal spike detection methods;https://doi.org/10.1109/biocas54905.2022.9948694;Excluded (1)
